,context,e1,r,e2,label,score
0,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentcollaborateswithagent', 'agent'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteinjuredhisbodypart', 'bodypart', 'athleteinjuredhisbodypart_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentbelongstoorganization', 'organization'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague']]",athlete_aaron,athleteplaysinleague,sportsleague_mlb,-,0.03531840071082115
1,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentcollaborateswithagent', 'agent'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentbelongstoorganization', 'organization'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague']]",athlete_aaron_fultz,athleteplaysinleague,sportsleague_mlb,-,0.05026776343584061
2,"[['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'agentcontrols_inv', 'agent'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'agentcontrols_inv', 'agent'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamalsoknownas', 'sportsteam', 'agentcontrols_inv', 'agent'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague']]",athlete_aaron_kampman,athleteplaysinleague,sportsleague_mlb,-,1.9048576405111817e-07
3,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentcollaborateswithagent', 'agent'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentbelongstoorganization', 'organization'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague']]",athlete_aaron_laffey,athleteplaysinleague,sportsleague_mlb,-,0.05026776343584061
4,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentcollaborateswithagent', 'agent'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentbelongstoorganization', 'organization'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague']]",athlete_aaron_rakers,athleteplaysinleague,sportsleague_mlb,-,0.05026776343584061
5,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague']]",athlete_abdul_jabbar,athleteplaysinleague,sportsleague_mlb,-,8.181939483620226e-05
6,"[['athlete', 'athleteledsportsteam', 'sportsteam', 'teamalsoknownas', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'agentcontrols_inv', 'agent'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'agentcontrols_inv', 'agent'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamhomestadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'agentcontrols_inv', 'agent'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'athleteplaysforteam_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'agentbelongstoorganization', 'organization'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'teamplaysagainstteam_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteflyouttosportsteamposition', 'sportsteamposition', 'athleteflyouttosportsteamposition_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamalsoknownas', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'agentcontrols_inv', 'agent'], ['athlete', 'athleteledsportsteam', 'sportsteam', 'teamhomestadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'athleteplaysforteam_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athletehomestadium', 'stadiumoreventvenue', 'teamhomestadium_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague']]",athlete_abreu,athleteplaysinleague,sportsleague_mlb,-,0.06543032824993134
7,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentcollaborateswithagent', 'agent'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentbelongstoorganization', 'organization'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague']]",athlete_adam_bernero,athleteplaysinleague,sportsleague_mlb,-,0.05026776343584061
8,"[['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'agentcontrols_inv', 'agent'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamhomestadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athletehomestadium', 'stadiumoreventvenue', 'teamhomestadium_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague']]",athlete_adam_burish,athleteplaysinleague,sportsleague_mlb,-,3.8382529510272434e-07
9,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentcollaborateswithagent', 'agent'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentbelongstoorganization', 'organization'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague']]",athlete_adam_eaton,athleteplaysinleague,sportsleague_mlb,-,0.05026776343584061
10,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentcollaborateswithagent', 'agent'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentbelongstoorganization', 'organization'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague']]",athlete_adam_miller,athleteplaysinleague,sportsleague_mlb,-,0.05026776343584061
11,"[['athlete', 'athleteplayssport', 'sport', 'teamplayssport_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentcollaborateswithagent', 'agent'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'coachesinleague', 'sportsleague'], ['athlete', 'athleteplayssport', 'sport', 'athleteplayssport_inv', 'athlete', 'agentbelongstoorganization', 'organization'], ['athlete', 'athleteplayssport', 'sport', 'sportusesstadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague']]",athlete_adam_pettyjohn,athleteplaysinleague,sportsleague_mlb,-,0.05026776343584061
12,"[['athlete', 'athleteplaysforteam', 'sportsteam', 'teamplaysagainstteam', 'sportsteam', 'agentcontrols_inv', 'agent'], ['athlete', 'athleteplaysforteam', 'sportsteam', 'teamhomestadium', 'stadiumoreventvenue', 'leaguestadiums_inv', 'sportsleague'], ['athlete', 'athletehomestadium', 'stadiumoreventvenue', 'teamhomestadium_inv', 'sportsteam', 'teamplaysinleague', 'sportsleague']]",athlete_adrian_aucoin,athleteplaysinleague,sportsleague_mlb,-,3.8382529510272434e-07
